"","V1","V2","V3","V4","V5","V6","1","2","3","4","5","6","7","8","9","train_data$V37"
"13",0,7,28,6,51,16,-22.6829016752738,-1.11501488246225,-5.9637603263594,0.823079054046195,-19.4141216985522,-1.54527724420769,-5.15371056457649,-3.28670258959087,2.46201922555232,"1"
"14",0,7,41,8,51,16,-24.073723472077,-0.913576886673733,-5.9359465706537,0.803731132766896,-25.5911328476809,-7.62410984210024,-5.78742528099326,-3.25722206613489,3.14683925348043,"0"
"15",1,7,46,9,51,16,-24.826211006987,-0.818945223990891,-5.95069158821672,0.793847323606977,-28.1064388613073,-9.88216368593576,-6.27510885574396,-3.16618161405515,3.36720045688747,"0"
"16",1,7,46,9,51,16,-24.8238227822464,-0.815058369193928,-5.93777032294148,0.793809127214197,-28.1070623895462,-9.8816280311054,-6.27368999539609,-3.16185898168344,3.3672736105154,"0"
"17",1,7,46,9,51,16,-24.8227660516344,-0.815173218634686,-5.93778071991614,0.793791066738478,-28.1075509538228,-9.88128545292397,-6.2737391346754,-3.16184146733685,3.3675311540564,"1"
"18",1,7,46,9,51,16,-24.8300354143072,-0.814287597984848,-5.93774871149609,0.793976079555794,-28.1094702177516,-9.88089353130067,-6.27342414239118,-3.1618663419092,3.36670387649698,"0"
"19",0,7,45,8,51,16,-24.5017312672613,-0.85106321905446,-5.93267948484517,0.8079429128254,-27.4745532091831,-9.44475942825126,-5.57836081281531,-3.39114860760875,3.38343722365537,"1"
"20",0,7,43,6,51,16,-24.2819408403655,-0.881399929365914,-5.95161514235558,0.838872893527894,-26.4757725528376,-8.37632647861279,-4.36968499896558,-3.78893432924378,3.34837588676989,"1"
"21",1,7,46,9,51,16,-24.8225571063306,-0.819357712636962,-5.95075381082648,0.793788994720353,-28.107451479312,-9.88209318276039,-6.27518586720059,-3.16615099303379,3.36742821197597,"0"
"22",1,7,46,9,51,16,-24.8289455450943,-0.820190854146995,-5.9496553703812,0.794875435714402,-28.1402014572903,-9.92911977933104,-6.27221453893736,-3.1699736888919,3.40231476098942,"0"
"23",1,7,46,9,51,16,-24.8227652350106,-0.815164399916222,-5.93778466839607,0.79378172837034,-28.1075509007334,-9.88128529236865,-6.27374048003134,-3.1618454028964,3.36753090472918,"0"
"24",1,7,46,9,51,16,-24.825610078651,-0.814851744343488,-5.93775080599006,0.79383950757227,-28.106567221724,-9.88189555023244,-6.27361425931868,-3.161883281973,3.36703692707812,"1"
"25",1,7,46,9,51,16,-24.8237820192773,-0.815061393603914,-5.93776981783991,0.793808263933112,-28.1071020681763,-9.88156759120957,-6.27369766059474,-3.16186129993698,3.36730223533328,"1"
"26",1,7,46,9,51,16,-24.8313954082679,-0.814117441406777,-5.93772096241274,0.794013572169347,-28.1094014478644,-9.88031948365054,-6.27342465591378,-3.16183017142841,3.36665750069546,"1"
"27",1,7,46,9,51,16,-24.8232862168597,-0.815110104984649,-5.93777686814029,0.793783546235847,-28.1073246046742,-9.88156204510833,-6.27370794934959,-3.16186753049383,3.36743893623854,"1"
"28",1,7,46,9,51,16,-24.823178874739,-0.815140379565797,-5.93777968514234,0.793794315854077,-28.1071115864145,-9.88193815263965,-6.27368154584344,-3.16188133745658,3.36718192848402,"1"
